歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
[听·邓紫棋] 让世界暂停一分钟,1463586082,云音乐官方歌单,介绍：从金鱼妹蜕变到华语天后，是这位小小身躯但能量爆棚的巨肺唱将交上的满分答卷；从少女情愫素到社会理想，是这位真情流露且博爱共情的创作女皇传递的不竭动力。“X”邓紫棋身上有太多的的未知性等待听众去发掘聆听她，就在现在。给你的歌，每日三十首定时更新...,30,1216452,7263,40,30
[爱恋银河] 跨越星河来见你,1463586082,云音乐官方歌单,介绍：攒起甜蜜的小心思，听着冒出粉红泡泡的歌曲，跨越银河，也要来见你。,60,1185564,3685,37,15
[听·萧敬腾] 就要霸占你的耳朵,1463586082,云音乐官方歌单,介绍：叛逆少年遇到摇滚乐，抱起乐器追梦--萧敬腾的音乐故事或许可以用这样一句话开篇。当欧美摇滚乐影响传到台湾，风格的震撼、歌手的愤怒嘶吼，舞台叛逆作风躁动稀奇，这些传进了仍在读小学的萧敬腾的耳朵，在少年心中共振，呼唤他走向了一个世界--在那个世界，萧敬腾不再是在是做出青春叛逆的校园少年，也成了一只自信、骄傲又优雅的狮子。,50,333621,1039,1,4
[闽南语唱片行] 唱在嘴边，动情在心尖,1463586082,云音乐官方歌单,介绍：闽南经典，劲歌载舞。回味经典，听爱情的愁苦，诉说对命运的不屈服，唱在嘴边，动情在心尖~,30,993244,3545,21,19
[流行点唱机] 2010年代华语热播 每日30首,1463586082,云音乐官方歌单,介绍：转眼2010年代 已经成为过去记忆中的十年 热播的华语流行你曾听过哪些 会唱哪些让流行点唱机 带你一起重温,30,63953304,251624,1022,356
[华语私人订制] 最懂你的华语推荐 每日更新35首,1463586082,云音乐官方歌单,介绍：全都是耐听的华语好歌这里是你的专属华语日推收藏订阅，歌荒，不存在的事,35,1503212032,6561678,97300,70858
[云贝推歌精选] 云贝每周听友推歌精选,3328420976,网易云贝推歌,介绍：云贝推歌你的热爱值得被听见每周听友推歌实力精选,50,1640314,5360,57,59
[国风嘻哈] 独步武林 肝胆相照,1463586082,云音乐官方歌单,介绍：当国风元素融于嘻哈说唱，独特的东方印记深深烙印在字里行间，作品内核有了我们自己的精神，从此说唱文化不再是舶来品，江湖义气词中现，豪情壮志歌里见。,60,444976,2627,33,12
[听·张震岳] 海雅谷慕，山与海之间的歌,1463586082,云音乐官方歌单,介绍：离开南方澳的海岸来到台北的街头，懵懂的阿美族少年背起吉他和行囊，一头扎进了繁华都市的花花世界。二十余年匆匆而过，时间见证了张震岳从纯情少年成长为成熟的唱作人，以青春体验和人生感悟为蓝本，直面世纪更迭的潮涨潮落。张震岳在音乐这条道路上兜兜转转:从最初写下摇滚、嘻哈中涌动叛逆能量的节奏流行歌，到更多倾注对家乡身边人事物的情感，从嘻哈面孔、蓝调流行下沉到生活的低处，此时虚实焕变的风景被太平洋上清凉的风吹散，灵魂深处那个山与海的孩子，又在呼唤着一种“归来”。当张震岳历经灿烂狂野，“海雅谷慕”寻回平静自然的生命之初，也许人生只需要两个篇章就能写完，远行与归途就是他故事的全部。,50,482868,1464,5,8
[台湾新发现] 孙盛希发布新单曲《清醒梦》,1463586082,云音乐官方歌单,介绍：来自中国台湾歌手的最新&冷门作品收藏订阅，听点新鲜的,50,2014691,7846,169,92
[听·任贤齐] 高歌的人不彷徨,1463586082,云音乐官方歌单,介绍：21岁玩音乐，30岁才出道的“平民歌王”-任贤齐。想必你也曾反复听一曲《对面的女孩看过来》。他的歌曲曾经风靡一时，是很多80后，90后的青春回忆，已56岁的他如今仍然活跃在娱乐圈，国内很多综艺依旧可以看见他的踪影。,50,636378,2336,10,8
[浪漫因子] 可以邀请你和我一起去春天吗,1463586082,云音乐官方歌单,介绍：我想在春天去见你，穿着漂亮的花裙子。和你在街边散步的时候，裙角就像我的心情一样，在微风里荡来荡去。那个画面好像伴随着花香，伴随着春天的所有浪漫气息，我光想想，就迫不及待地准备去见你。,30,5442136,25583,250,84
[强强联手] 那些一加一大于二的合作,1463586082,云音乐官方歌单,介绍：TA们居然合作了！才华PLUS，风格MIX，新老合作、跨界制作，不规则的组合呈现出让人惊喜的音乐，每一首歌都是激烈的创意火花。,145,1589204,6184,30,22
[听·陈奕迅] 有请K歌之王,1463586082,云音乐官方歌单,介绍：陈奕迅以歌唱实力见长，而他恰好出现在香港乐坛偶像派歌手层出不穷的90年代末。在这样的时代背景下，作为实力派男歌手出道的陈奕迅，显得难能可贵而又引人注目。有人情味、故事感的歌声是陈奕迅的招牌。每日更新30首，感受K歌之王唱到铭心刻骨…,30,1799554,9057,46,23
[快乐工作指南] 烦恼清空，快乐办公,1463586082,云音乐官方歌单,介绍：生活似乎并没有一帆风顺。想对一直以来默默拼搏的你，说一声辛苦啦。休息时间记得多笑笑~,30,2423616,8212,66,49
[听·莫文蔚] 慢慢喜欢你，从这首歌起,1463586082,云音乐官方歌单,介绍：你说她性感，她就出其不意挑战“火鸡姐"这样开拓戏路的角色;你说她只是很会唱歌，她就交出一张包办 作曲、质感高级的《拉活..莫文蔚》， 还立刻揽下金曲奖“最佳专辑”。莫文蔚比我们想象得更百变、立体，就如同她在香港影坛留下的各色形象一般;再探身瞧一眼台湾乐坛，你又能听到莫文蔚内涵丰富、回味悠长的内在世界。,50,1062604,4446,23,5
[深夜归路人] 给深夜归家的你留一盏灯,1463586082,云音乐官方歌单,介绍：独自在深夜里踏上归程，凝视窗外，月明星稀，晚风微凉。即便再晚，也有音乐相伴，给夜归的你留一盏灯，晚安陌生人。,60,1859415,7072,35,23
[听·梁静茹] 情歌告诉你的事,1463586082,云音乐官方歌单,介绍：提到失恋主题的华语歌，很容易让人想起《可惜不是你》和《分手快乐》。而传递这份安慰的正是来自马来西亚的歌手梁静茹。之后梁静茹受到了李宗盛的赏识，正式开启自己在华语乐坛的音乐路。梁静茹通过过来人身份传递一份看淡过往，歌依旧听来暖暖、缓缓。无论是自在惬意，还是富有感染力的悲伤倾诉，其中都包含了引发广泛共鸣的温暖能量，这份恰到好处的治愈，也正是梁静茹和她的歌受到许多歌迷喜爱的原因。,50,768628,2721,11,6
[阴天快乐] 如果情绪有天气 我陷在阴天里,1463586082,云音乐官方歌单,介绍：光线暗下来的黄昏即将消失的傍晚你的身影出现在和弦切换的眨眼之间餐厅里熟悉的座位一起挤过的拥挤车厢你的笑声回荡在词曲交织的呢喃里记忆中的画面日渐模糊回忆中的甜蜜越发苦涩人群吞没所有情绪当歌声响起是疗愈你心放下过往，还是伤你至深越发沉沦？,30,20866174,86996,742,257
[听·韩红] 用宛如天籁的嗓音治愈你,1463586082,云音乐官方歌单,介绍：1971年9月26日出生于西藏自治区昌都市，中国作曲家、歌唱家、词作家、音乐制作人、慈善家、导演、主持人，全国政协委员，国家一级演员，韩红爱心慈善基金会发起人，华录百纳娱乐公司董事长兼CEO，2016中国慈善名人榜第一， 先后毕业于中国音乐学院 、解放军艺术学院、中共中央党校研究生。1995年，凭创作曲目《喜马拉雅》获中央电视台音乐电视大赛铜奖第一名。2003年，获得第5届CCTV音乐盛典最受欢迎女歌手，逐渐受到关注；2005年凭借成名曲《天路》获得我最喜爱的春节联欢晚会节目歌舞类节目三等奖；2008年1月26日，在北京举办“红透2008” 个人演唱会；2009年担任任空军政治部文工团副团长；2013年担任《中国梦之声》的评委。2015年3月27日，获得湖南卫视《我是歌手第三季》冠军。韩红还热衷于慈善事业，2007年发起“爱心西藏行”等公益活动，2008年5月14日成立“韩红爱心救援团队”前往汶川灾区支持救援，2012年5月9日注册成立了韩红爱心慈善基金会。2015年12月7日，韩红发微博宣布正式告别部队，结束军旅生涯。2017年4月5日， 由韩红作曲的首部原创音乐剧处女作《阿尔兹记忆的爱情》在京首演；同年获邀参加第71届托尼奖，成为首位受邀参加托尼奖的中国作曲家。,50,228012,1017,3,5
[真实说唱派] 让歌里的故事诉说心事,1463586082,云音乐官方歌单,介绍：在哈利波特的世界里，只要三滴吐真剂，就能让你说出内心深处的秘密，当rapper们喝下吐真剂，他们会说出什么样的故事呢？,71,405407,1075,14,11
[听·毛不易] 易语在心头,1463586082,云音乐官方歌单,介绍：选秀时代为毛不易造就成名的机遇，而社交媒体为普通人的有感而发提供出口，也为那些共鸣创造传播的途径和机会。城市打工人的出身让他的音乐更有说服力，精妙地刻画“碌碌无为”又不甘于“灿烂年华”转瞬即逝的矛盾心理，最终让他从一众耀眼的选手中脱颖而出，也是他在选秀红利期结束后，依然立足华语乐坛的法宝。他的走红是自身才华使然，也是无数不甘平庸的人们对时代做出的回应。他的存在，其实是“芸芸众生"的画像组成的一幅“巨星"肖像。,50,1409051,8447,31,33
[一人食] 一个人吃饭也要有仪式感,1463586082,云音乐官方歌单,介绍：一个人独自吃饭，可能正如让·波德里亚说的那样：“比贫穷更糟，比乞丐还惨。”但对享受独处的人来说，即使是一人食也被赋予了仪式感，吃饭不仅仅只有果腹的意义，它还意味着在喧闹的世界中，挤出一个与自己寒暄的空间。,60,333604,1129,12,12
[华语速爆新歌] G.E.M.邓紫棋献唱《三体》动画片尾主题曲,1,网易云音乐,介绍：优质华语新歌，网易云音乐每周精选推荐。本期封面：邓紫棋,20,1075554432,3743299,28552,60522
[听·张惠妹] 一睹千面阿密特,1463586082,云音乐官方歌单,介绍：是"阿妹"，也是"阿密特”，更是足以被称为华语乐坛歌坛"天后"的张惠妹，以音域宽广、高音信手拈来的好嗓音让人难忘。从90年代末到音乐文化百花齐放的2000年代，张惠妹以高超唱功引领着华语乐坛。在当时少数民族歌手因流行乐文化的不包容性还鲜少有人专注发力的年代，卑南族出身的张惠妹大方拥抱本民族文化，不只在流行乐坛独树一帜，也驱动了无数后辈歌手释放光彩。,50,478882,1463,5,6
有没有一首歌对你来说意义非凡,537587786,音樂又不是你的全部,介绍：快乐就是发现你把我分享的歌曲 加入你的歌单,296,3782324,19531,287,292
古风｜闲庭抚琴桃花酒，叶落似是故人归,495212781,子度-,介绍：春赏百花冬观雪，醒亦念卿，梦亦念卿。逢君拾光彩，不吝此生轻。所以说爱恨真是奇怪的东西。有的早早腐烂入土。有的刻骨。,61,8279460,135074,695,605
「逃跑计划｜世界喧嚣 我很好 日子也很好」,1758529817,是清澄阿,介绍：“每个人心中都有一个逃跑计划。”你会觉得我们好久不联系了，甚至老死不相往来。但真的到生命终结那一天，我们还是会想到对方，如果那时候让你和对方说话，你愿意吗？大部分时候还是愿意的。聆听逃跑计划的音乐，都会听到那一些些对于梦想、理想的坚持与追随，相信很多人都会在一首首作品中听到哪一个属于曾几何时的自己。,37,850,10,0,0
刘森 华北浪革 无边界音乐,1590851653,偷偷的叹了口气,介绍：有的没的艺术创作者风格飘忽不定主要是看心情刘森/华北浪革/无边界音乐/BearDing/宫保熊丁/秋秋叶—————————————————————对于《县城》这首歌，我有很多话想说，却也不知如何说起。此刻我作为听众又安静地听了几遍，还看了网友混剪的视频，今天想絮叨一次。没想过会有那么多人用这首歌当背景音去做视频，也许它给了那些视频某种契合的“缘分”，让影音结合成了更立体的产物。虽然从未有过和听者的直接沟通，但那些图片和视频一直在给我反馈，不论何种角度和出发点，都在升华着我心中未曾想过的“烟火”，也许这种交流还会继续。创作是生活中一件具体的琐事，我和吴鞑靼的上下两段风格迥异的文字组成了歌词，我站在他笔下的“千层山”上望向了故乡的天空，以抒发情绪构筑画面为目的的编曲思路决定了这首歌的样貌。和我合作过的职业乐手王宇，一反他常做的音乐风格手法，在这首歌的演奏和混音处理上，让我看到了他的另一面。我开玩笑跟他说过，“你的根音推动到底，一直到我神经底”。1分52秒左右，那贝斯粗糙的摆动声，就在大声撬动着这首歌的灵魂。也许我是歌里的木吉他，站在路边，在喧嚣中哼唱，直到那个不算短的间奏，望着一个又一个江湖儿女交错向我走来，这里不需要令狐冲，也可以汇聚成五霸岗。我很喜欢这个编曲，我更希望它不是用来听，而是可以闭上眼去看的。第一次尝试创造音频中的画面感，回想当时还是有难以形容的冲动和热情。“县城”不是城，是我们的曾经，是自己在繁华与寂寞的争斗中，来来回回行走的过程，是从脚底到心头，很难轻易摆脱的路。其实我是喜欢大声唱歌的，歌曲前段还在努力洒脱，后面渐渐衰落，不够清楚的含糊状和褪下去的迟暮，也许不是我唱歌的本色，反而觉得在某种程度上，表达了生活的本色，也是我的一种性格。中国人的乡愁是回头看，中国人的奋进是向前冲。创作歌曲挺有意思的，是我某些意识和内在驱动来源。做音乐是另外一件事，以后再说。作为一首歌，一首音乐作品，《县城》不够美好，作为我心中的一次表达，一次情感的输出，它足够了。我很爱它，爱这里的一切。——刘森,27,232888,3350,68,32
[听·潘玮柏] 异想世界，自己主宰,1463586082,云音乐官方歌单,介绍：在美国出生的潘玮柏年少时移居台湾，21岁成为音乐台VJ后正式踏入演艺界。因出演电视剧《麻辣鲜师》而首次尝试演唱，之后顺势推出集结众多著名音乐人的首张专辑《壁虎漫步》；之后在Hip-hop上剔除嘻哈的政治性与帮派色彩，将朗朗上口的流行旋律、“playboy的玩乐态度、篮球与潮牌文化统统打包，造就了耳熟能详的《不得不爱》《快乐崇拜》等作品，成功扩展了千禧年代流行嘻哈在华语地区的辐射范围，来势凶猛地在华语乐坛崭露头角。,50,238701,571,6,5
[听·杨千嬅] 最靓的飞女唱给你听,1463586082,云音乐官方歌单,介绍：身为香港唯一的“歌影视三后” ，杨千嬅给人的印象却始终是亲和、真性情，是备受喜爱的"民选天后”。她是民选奖项"叱咤我最喜爱的女歌手”纪录保持者。她将香港女性的平凡和不平凡，用台前幕后最真的自己去演绎，所以才最深入人心。,50,898252,2802,22,13
情绪系小众歌单,273094285,小叶子的叶团儿,介绍：音乐真的不必懂，自己喜欢就好。再小众的歌曲，也会成为朱砂烙印在某些人的心头。听歌就是一种心情，在某个意想不到的时间，有往事，有记忆，有感动，亦有人生。,48,7663,95,38,1
说唱｜意难平终将和解,471776903,情感文字君,介绍：我以前经常用拉黑来结束一段感情 但拉黑过后的每一刻心都会像被蚂蚁啃食一样难熬 翻遍各种社交软件偷看对方动态 忍住每隔一段时间就想要加回好友的念头 就这样反反复复 永远也不可能忘掉的 所以现在反倒觉得 放下一个人的最好方式就是什么也不做,147,1103788,15431,225,65
【乐队band】浪漫和热情终生不弃,635967486,稥澍,介绍：别妄想用潦倒的言语将我圈住，我从不在破烂的情话里佝偻,84,781051,9825,156,51
摇滚之夏｜音乐响起，我和玫瑰一起被点燃,110877577,雾月情书,介绍：那些写在音乐节大屏幕上的文字有它独有的热情旋律那面摇曳在人群中的旗帜带着自由就让文艺青年的浪漫摇滚青年的热情融化成夏日的乐日映成一座乐园当音乐声响起我和玫瑰一起自燃成星夜,32,232611,1956,35,3
独自快乐指南 我们都是气氛人,315850166,西柚甜,介绍：快乐或不快乐都要保持幽默电影还是K歌只为让你不寂寞赶走疲惫堕落生活不应该有蓝色打开你的心窝现在听我的,47,3143936,28400,913,275
生活节奏太快，就让耳机里的声音慢慢来～,402524626,空气很颓废,介绍：偷偷努力的感觉很好，在自己还不够好的时候不声张也不埋怨，自己一个人一点点的去改变，等你告别了以前的自己的时候，你就可以对自己说「呼，太棒了终于熬过来了」心情放晴，生活变得亮晶晶的。 ​​​封面：一工,105,13091564,107262,1658,288
好听却记不起歌名的歌,289803168,有品味的真知棒,介绍：如果你赶不上凌晨五点的太阳，或许你也可以看看傍晚六点的夕阳,977,3574009,28013,340,47
华语丨每一首歌 都在叙述一段故事,2118682115,月亮藏不住的小情绪,介绍：一首老歌，一个故事，一段前尘，明明已是久远了，埋藏在心中的记忆却那么清晰，仿佛定格在那一幅昔日的风景里。着也快乐着。无奈何曲终人散落下帷幕，从此天各一方，两两相忘，徒留些许遗憾，那是被往昔所湮灭的温度。一个爱字，终身所牵，一个恨字，盈满离愁。当初的相爱，演绎了情感这一方华丽的舞台，诠释了爱情的真谛，痛着也快乐着。,41,358619,1408,8,9
『入耳即醉』BGM加持，作业都不叫事儿~,201586,原创君,介绍：BGM一响下笔如有神我要和作业大战三百回合！/封面来自网络,36,3924097,43538,5741,331
私藏民谣丨每首都触及人心,3875692946,角港,介绍：听民谣的人不一定得有故事，也并非整日一副多愁善感的模样。他们就是单纯的喜欢民谣，喜欢它的旋律，喜欢它的纯净，喜欢它不加修饰的美，民谣有个共同的特点，就是它的歌词永远都是那么简单 又触及人心，却又那么容易引起听者的共鸣。作为一个资深的音乐爱好者，我听过很多歌，但是好听的民谣歌曲，他们的作品，其实也没有大家想的那么差，不喜勿喷 谢谢！民谣有五：少年 吉他 爱情 理想 远方听者有五：故事 孤独 平庸 落魄 烟酒歌单创建：2022-7-9歌单封面：来源网络《毛不易》,60,844954,5763,79,5
好听到单曲循环哟,1407747620,小攀哟,介绍：喜欢歌单的可以点个关注哟当你在网易云翻着评论，却不留下一个字无非是想找一个替你讲故事的人失恋必听歌单：没有一个人...封面：ZXANDREY创建者：小攀哟歌单创建：2019.4.9歌单修改：2019.8.27歌单完善：2019.11.15歌单更新更新中..,204,29846446,174377,1931,300
时差青年｜每个懂事的人都是宝藏,392535778,陈笑一Joylyn,介绍：时常提醒自己无论如何都要保持清醒周围有太多的声音动摇你有无数双手都在撕扯你包括你的困惑害怕和犹豫不决也会阻碍你请你一定要坚定要全力以赴要清楚的知道自己想要什么以及对所谓的「世俗标准」的不妥协感谢收听 持续更新PS:此歌单主要收录说唱，另外英文歌单和华语流行在我的『创建歌单』中-By:陈笑一Joylyn,559,5607133,41820,911,175
海不会等风 风也不会留恋海,1371974320,逃雪天,介绍：“若逢新雪初霁 满月当空 下面平铺着皓影 上面流转着亮银 而你带笑地向我走来 月色和雪色之间 你是第三种绝色 ”—— 余光中,347,2031584,16319,216,73
【失恋中】爱上你是一个错,354868458,四川贫困人口,介绍：人生必须自己走过，才能感觉到脚上的泡和看过的风景，别人不管怎么说，都是遥远，事不关己——李筱懿,100,5123501,3462,1,3
「孙燕姿 王心凌 莫文蔚 戴佩妮 梁静茹 」,1758529817,是清澄阿,介绍：孙燕姿（Stefanie Sun），1978年7月23日出生于新加坡，华语流行乐女歌手，孙燕姿自2000年正式出道，成为新世纪歌坛的一道曙光，她的歌积极向上、给人力量，个人风格明显深受听众喜爱。王心凌（Cyndi Wang），1982年9月5日出生于中国台湾，祖籍山东省青岛市，华语流行乐女歌手、演员。莫文蔚（Karen Mok），1970年6月2日出生于中国香港，华语流行乐女歌手、影视演员、音乐制作人。梁静茹（Fish Leong），1978年6月16日出生于马来西亚，祖籍中国广东省佛山市，华语流行乐女歌手。戴佩妮（Penny Tai），1978年4月22日出生于马来西亚，华语流行乐女歌手、词曲创作者、音乐制作人、作家、MV导演。,250,913150,5738,75,12
『武侠梦』我应在江湖悠悠，饮一壶浊酒,100198046,江湖濯濯,介绍：千古文人侠客梦，百年江湖豪杰篇我自醉眼待天清，几为浮名孤剑行。平生逢酒轻一笑，但将豪情付酩酊。莫说我穷得叮当响，大袖揽清风。莫讥我困时无处眠，天地做床被。莫笑我渴时无美酒，江湖来做壶。天下风云出我辈，一入江湖岁月催。皇图霸业谈笑中，不胜人生一场醉。所谓侠，金庸的侠“侠之大者，为国为民”，是人生; 古龙的侠“人在江湖，身不由己”，是人性。或许我们心中都有一个武侠梦，策马仗剑漂浪江湖。从武侠小说和武侠影视剧到现在的武侠网游和武侠歌曲，无数人在心中描绘过自己的那个江湖。侠客，窄刀，幂篱，浊酒一壶。笑谈风月，好不平，挥刀斩剑拂衣去。谁没有过一个中二又热血的青春呢？那时候的我的确被小说中的江湖情义所打动，甚至催生了我的武侠梦，让我无比向往快意恩仇，重情重义的那种武侠世界。武侠，已成为一种情怀，一种文化烙印。千古文人追求的侠客梦其实是东方式的对自由的争取。那种独立的人格，追求快意人生，只坚持自己的价值观，不与世同流。并不一定真要当侠客，要仗剑天涯，只是有一个梦，有一个追求：只想以一种绝世而独立的姿态立于世间，坚持自我。而真正存在人们心中的武侠梦是不足为外人道的。因为，那并不是纯粹的一个行走江湖快意恩仇的梦，那是对自由、幸福以及对人生的追求。——陈平原《千古文人侠客梦》,86,11829020,138833,1042,739
今天的风超甜，因为是从你的方向吹来,450639585,四季里的懒睡猫,介绍：我想在今年给你一个温暖的拥抱我关于未来所有的美好愿望都是想和你一起度过充满希望愿你能与你喜欢的人一起漫渡星河,120,12484382,86360,1259,380
很遗憾，有些人相识相知又归零,1489286516,贝克克y,介绍：永远都要记住，两个不合适的人，即便重来一万次，还是不合适，结局还是分开。所以，不要再纠结过去，不要把时间花费在悲的重演上，不要把感情浪费在一个错的人身上。,176,359,8,1,0
华语民谣：日落跌入昭昭星野，,275838269,心动Z,介绍：从某种意义来看，世间一切都是遇见，就像，冷遇见暖，就有了雨，春遇见冬，就有了岁月，天遇见地，有了永恒，人遇见人，有了生命。,27,65369,1297,2,0
民谣｜如果当时的我们能少一些固执,2118682115,月亮藏不住的小情绪,介绍：今天在电影院，一对情侣在看电影，女孩靠在男孩的怀里留眼泪。她说她忘不了他。男孩轻轻的帮她擦去眼泪，宠溺的摸摸她的头说：那你去找他吧。电影散场，偌大的电影院里，男孩哭的撕心裂肺，其成全一个人，没那么伟大。封面：程璧,46,345242,1581,16,6
【古风】不会让你后悔的实力好听的古风歌单,121903242,君墨千刃丶,介绍：千万播放啦！谢谢各位小可爱的喜欢呀！感谢在万单丛中收藏呀~基本是合口味才会放进来的。会持续更新哦~还有！如果可以的话！关注下单主这个小可爱嘛(/ω＼)ps：图图/银临的《是风动》无条件在首位哦！,579,14740456,266232,1609,687
伤感华语｜连歌词都能写到一个人的心里,589125151,AdeeL丨,介绍：本以为熬过漫长黑夜，就能见到清晨的曙光，那知大雾弥漫让人看不清光亮分不清方向,73,2704,19,0,0
乐队的移动城堡｜心之所向 用浪漫回击烦琐,110877577,雾月情书,介绍：恭喜你呀，发现了这份乐队指南世俗可能烦琐，所以我们必须收集很多很多浪漫因子，去回击暗沉的时刻这份指南包含了很多我爱听的歌曲，从高三听到大三，成为我的精神支柱棱镜、告五人等等，都是很棒的乐队 在他们的livehouse上 有不断的浪漫故事上演放心好了亲爱的，你也会有一天成为主角，一定会的喜欢乐队的理由可能千千万万，但是今天在这里相遇，就是缘分最后让我们记住指南密码：保护姑娘 贯彻落实,49,754280,7759,107,31
网易云那些评论过万的古风国风歌曲,377790159,是阮阮阿,介绍：愿，有一首触动你。【填词古风戏剧人物群像，流行国风古意民谣说唱】本歌单除古风歌曲外也包含流行中国风以及R&B,487,8638258,110078,525,188
民谣轻摇 旅途驰放！公路旅行越野自驾游,312092282,高原乌鸦,介绍：游离于城市中的灵魂．不忘初心，回归自我！或轻快抖腿、或情深款款…… 适合长、短途及城市里驾游．老调重弹：循序欣赏为佳！20.06.01.该辑还有两辑姊妹篇：车在路上行 人在醍醐间 以及 不羁的灵魂，撒野远方！小众国摇、黑金．,76,315191,952,11,3
100首90年代经典老歌,443893337,chelife,介绍：80后的共同记忆，我们从小听到大，那些音乐想起，我们就知道就是这个味儿了。时间回不去了，只能在音乐里，回味那些美好的日子。不管怎么样，要向前，向前走。愿这些音乐陪着你我，度过那些难熬的日子。,101,9632100,61268,564,69
2022网络爆火流行歌曲推荐（实时更新）,610336824,芳心收集人士,介绍：尽全力在不愉快的日子里搜刮生活藏下的所有温柔感谢收藏关注！主页还有更多好听的歌单噢，懂得都懂～听一首好听的歌 开启一天的好心情好歌太多，推荐随机播放！—————————————————————————封面：钰哥,256,138270,990,116,13
银临古风歌曲精选收录,1365798932,珩萧雨溪,介绍：弦断 曲尽 何人续，雨中 相遇 浅笑兮。酉水河畔临江仙，寻其人，寄于情；其如飞蛾扑火，虽千万人吾往矣。茔茔蔓草，岁岁不老；风雨如晦，死生为谁。终南有坟，名不老。腐草已化萤，蚍蜉欲渡海，而此心如一。梦回依稀尘世辗转，相遇在咫尺的时空。,142,235509,3920,83,34
邓丽君金曲精选集【SQ无损、复黑王…音质】,1360953325,阿成180203,介绍：邓丽君 1953年1月29日出生于中国台湾省云林县褒忠乡龙岩村，籍贯河北省大名县邓台村，中国台湾女歌唱家、日本昭和时代代表性日语女歌手之一。1967年推出首张个人专辑，从而开始其歌唱生涯。1969年因演唱中国台湾首部连续剧《晶晶》的同名主题曲而在中国台湾成名。1995年5月8日，邓丽君因支气管哮喘发作于泰国清迈逝世。,365,1766429,21863,174,48
♡因为是你，有一点遗憾也没关系♡,201586,原创君,介绍：我知道在一起总会经历遗憾但我会牵着你的手一起面对♡/封面来自网络,32,172618,544,10,8
这些歌设置过单曲循环,471776903,情感文字君,介绍：我总是在小心翼翼总是在拿捏分寸总是在询问可不可以行不行害怕自己无意中伤害别人担心自己处理不够妥当不想让别人失望但是从来没有人问过你快不快乐,273,33859792,265956,2135,809
华语宝藏库：哪首歌词会让你触景生情,1468568012,陈穆泽,介绍：这些歌曲好听又易唱哦每次听朋友在KTV唱这些歌很多歌曲肯定有你熟悉的味道那些词曲入心还会让人回味无穷以后会持续更新更多好听的热歌哦,175,2207653,8094,103,52
后来就算再喜欢 可再也不主动了,2118682115,月亮藏不住的小情绪,介绍：真心喜欢过的人没法做朋友，哪怕再多看几眼，都还是想拥有。我从未放弃过爱你，只是从浓烈变得悄无声息。,132,854984,6023,138,36
以歌伴梦｜用歌声浅唱每一篇故事,51573285,你的辰ya,介绍：百首好歌，每首歌代表一个故事，深入人心的歌曲，总是给我们带来一些回忆，不论是悲伤还是美好，现在回想起来，依然回味无穷，就让她们代替亲人把故事唱给我们聆听，伴随我们入梦,242,8129,48,1,0
听歌发呆：也许有种孤独叫放空吧,59525119,钟泽希,介绍：喜欢一个人静静地看着杏雨沾湿芳草看着纹路细腻的天空不说话，也不失落。习惯一个人的音乐也许只有自己才听得懂可是却依然希望自己听的旋律能把周围和未来打动音乐让你在悲伤时感到一丝抚慰让你在感动时潸然落泪音乐让我知道人世间各种快乐，各种心酸，各种痛楚只要有音乐，就不会孤独，不会寂寞。歌单寄语：每一个音符下，都埋藏着一颗平静而柔韧的心灵,124,11475795,53369,1012,250
会偶尔想我吗,2030437765,旧林xt,介绍：我知道你是不会想起我的不过没关系分开的意义就是这样不然不会分开,524,6112528,43022,451,238
「旋律控」超好听的女声集鸭！,50255421,HUMAN00,介绍：这是一个旋律好听 声音又好的女声集。超好听的鸭！身为一个旋律控和女声控，咱会保证每一首歌曲的质量。感谢小伙伴的喜欢~持续更新...如果有发现好听的女声翻唱，欢迎分享给咱嗷❤,427,54019720,448306,4040,987
给你的专属小众歌曲,597954698,欧阳北北i_请假14号回,介绍：喜欢一边吃饭一边说“好吃好吃”的人，喜欢一边旅游一边说“好美”的人，就像喜欢一边恋爱一边说“好喜欢你”的人，当然要说啦，这不是废话，这是礼貌。,544,161333,1819,24,14
冬日邂逅｜今年的冬天会遇到心软的神吗？,45356986,独家记忆文案馆,介绍：冬季在我心里，是一个适合和解释怀的季节，古诗有云「忽如一夜春风来，千树万树梨花开」，那么冬季里的我是与这种突如其来的的雪是一样的，来得猛，来得热烈，笃定。其实我知道这场雪始终会来，所以会表现平静，我们在雪中，与其说是期待浪漫的邂逅，不如说是在憧憬与另一个自己的重逢。自始至终，我们寻找的，不就是自己吗？,45,42053,99,6,4
追忆青春丨曾经MP3里听过的流行歌,2118682115,月亮藏不住的小情绪,介绍：总有 那么一些歌让我们悲伤 让我们哭泣但其实让我们哭泣的 并不是那些歌本身而是 藏在回忆里的那些人你说 对吗？-----------------------✂-------------封面：本兮,56,268670,1174,12,7
去吹吹风吧 能醒的话感冒也没关系,1542391016,刘正武武武,介绍：去吹吹风吧 能醒的话感冒也没关系.倘若在我崩溃绝望时你能有半句回应无论我有多么狼狈不堪我都会回来拥抱你,146,3930331,38226,1036,267
